RRMSE,AVGRE,Organism,Species,Abundance,Dominance,Read Length,Software
0.493311,0.445276,OB,S10,A100000,D1,R1000,Centrifuge
0.495189,0.466869,OB,S10,A100000,D1,R150,Centrifuge
0.494375,0.451466,OB,S10,A100000,D1,R300,Centrifuge
0.464745,0.426219,OB,S10,A100000,D1,R75,Centrifuge
1.34761,0.642121,OB,S10,A100000,D1,R1000,Constrains
1.00784,0.460781,OB,S10,A100000,D1,R150,Constrains
1.2543,0.58511,OB,S10,A100000,D1,R300,Constrains
1.07139,0.482071,OB,S10,A100000,D1,R75,Constrains
0.460196,0.417166,OB,S10,A100000,D1,R1000,Kraken
0.480477,0.42867,OB,S10,A100000,D1,R150,Kraken
0.455222,0.40976,OB,S10,A100000,D1,R300,Kraken
0.52648,0.472186,OB,S10,A100000,D1,R75,Kraken
0.538318,0.400923,OB,S10,A100000,D1,R1000,MetaMix
0.555403,0.427856,OB,S10,A100000,D1,R150,MetaMix
0.630598,0.490119,OB,S10,A100000,D1,R300,MetaMix
0.552737,0.421898,OB,S10,A100000,D1,R75,MetaMix
0.583302,0.301179,OB,S10,A100000,D1,R1000,MetaPhlan2
0.516141,0.295213,OB,S10,A100000,D1,R150,MetaPhlan2
0.530058,0.269506,OB,S10,A100000,D1,R300,MetaPhlan2
0.417954,0.212263,OB,S10,A100000,D1,R75,MetaPhlan2
0.490396,0.435161,OB,S10,A100000,D1,R1000,PathoScope2
0.36894,0.349103,OB,S10,A100000,D1,R150,PathoScope2
0.373213,0.355119,OB,S10,A100000,D1,R300,PathoScope2
0.372787,0.355299,OB,S10,A100000,D1,R75,PathoScope2
0.539366,0.435932,OB,S10,A100000,D1,R1000,Sigma
0.425373,0.345629,OB,S10,A100000,D1,R150,Sigma
0.503217,0.408124,OB,S10,A100000,D1,R300,Sigma
0.360177,0.304209,OB,S10,A100000,D1,R75,Sigma
0.551028,0.490587,OB,S10,A100000,D1,R1000,Taxator
0.618017,0.566617,OB,S10,A100000,D1,R150,Taxator
0.574816,0.508566,OB,S10,A100000,D1,R300,Taxator
0.704826,0.677376,OB,S10,A100000,D1,R75,Taxator
0.390709,0.323629,OB,S10,A100000,D10,R1000,Centrifuge
0.387607,0.330707,OB,S10,A100000,D10,R150,Centrifuge
0.392863,0.331706,OB,S10,A100000,D10,R300,Centrifuge
0.378877,0.325104,OB,S10,A100000,D10,R75,Centrifuge
0.518308,0.281709,OB,S10,A100000,D10,R1000,Constrains
0.402122,0.255515,OB,S10,A100000,D10,R150,Constrains
0.512062,0.296341,OB,S10,A100000,D10,R300,Constrains
0.41527,0.268806,OB,S10,A100000,D10,R75,Constrains
0.402778,0.331616,OB,S10,A100000,D10,R1000,Kraken
0.429917,0.352934,OB,S10,A100000,D10,R150,Kraken
0.40023,0.327878,OB,S10,A100000,D10,R300,Kraken
0.482803,0.404733,OB,S10,A100000,D10,R75,Kraken
0.52356,0.395109,OB,S10,A100000,D10,R1000,MetaMix
0.562757,0.469237,OB,S10,A100000,D10,R150,MetaMix
0.538446,0.424549,OB,S10,A100000,D10,R300,MetaMix
0.52571,0.402647,OB,S10,A100000,D10,R75,MetaMix
0.363598,0.253019,OB,S10,A100000,D10,R1000,MetaPhlan2
0.379413,0.249142,OB,S10,A100000,D10,R150,MetaPhlan2
0.355637,0.246944,OB,S10,A100000,D10,R300,MetaPhlan2
0.365366,0.236238,OB,S10,A100000,D10,R75,MetaPhlan2
0.323734,0.287633,OB,S10,A100000,D10,R1000,PathoScope2
0.316067,0.280082,OB,S10,A100000,D10,R150,PathoScope2
0.319932,0.284166,OB,S10,A100000,D10,R300,PathoScope2
0.325516,0.290519,OB,S10,A100000,D10,R75,PathoScope2
0.629936,0.463452,OB,S10,A100000,D10,R1000,Sigma
0.511621,0.35821,OB,S10,A100000,D10,R150,Sigma
0.596417,0.434596,OB,S10,A100000,D10,R300,Sigma
0.46047,0.304921,OB,S10,A100000,D10,R75,Sigma
0.481791,0.390363,OB,S10,A100000,D10,R1000,Taxator
0.554266,0.456706,OB,S10,A100000,D10,R150,Taxator
0.508963,0.412029,OB,S10,A100000,D10,R300,Taxator
0.635724,0.559356,OB,S10,A100000,D10,R75,Taxator
0.37222,0.299048,OB,S10,A100000,D50,R1000,Centrifuge
0.374919,0.306288,OB,S10,A100000,D50,R150,Centrifuge
0.380076,0.310061,OB,S10,A100000,D50,R300,Centrifuge
0.35964,0.298352,OB,S10,A100000,D50,R75,Centrifuge
0.59462,0.441981,OB,S10,A100000,D50,R1000,Constrains
0.512366,0.380735,OB,S10,A100000,D50,R150,Constrains
0.535652,0.402376,OB,S10,A100000,D50,R300,Constrains
0.495697,0.368021,OB,S10,A100000,D50,R75,Constrains
0.394297,0.312136,OB,S10,A100000,D50,R1000,Kraken
0.432089,0.3461,OB,S10,A100000,D50,R150,Kraken
0.391975,0.311342,OB,S10,A100000,D50,R300,Kraken
0.474927,0.392332,OB,S10,A100000,D50,R75,Kraken
0.420509,0.313971,OB,S10,A100000,D50,R1000,MetaMix
0.451308,0.343218,OB,S10,A100000,D50,R150,MetaMix
0.519421,0.380458,OB,S10,A100000,D50,R300,MetaMix
0.551198,0.420111,OB,S10,A100000,D50,R75,MetaMix
0.572792,0.416191,OB,S10,A100000,D50,R1000,MetaPhlan2
0.549925,0.409348,OB,S10,A100000,D50,R150,MetaPhlan2
0.540388,0.391593,OB,S10,A100000,D50,R300,MetaPhlan2
0.551031,0.415386,OB,S10,A100000,D50,R75,MetaPhlan2
0.330993,0.275737,OB,S10,A100000,D50,R1000,PathoScope2
0.329995,0.274643,OB,S10,A100000,D50,R150,PathoScope2
0.324252,0.2713,OB,S10,A100000,D50,R300,PathoScope2
0.331566,0.274818,OB,S10,A100000,D50,R75,PathoScope2
0.840997,0.575164,OB,S10,A100000,D50,R1000,Sigma
0.705851,0.438759,OB,S10,A100000,D50,R150,Sigma
0.796275,0.537222,OB,S10,A100000,D50,R300,Sigma
0.652663,0.370584,OB,S10,A100000,D50,R75,Sigma
0.465921,0.368951,OB,S10,A100000,D50,R1000,Taxator
0.537784,0.437864,OB,S10,A100000,D50,R150,Taxator
0.49443,0.394584,OB,S10,A100000,D50,R300,Taxator
0.617508,0.535933,OB,S10,A100000,D50,R75,Taxator
0.41255,0.354978,OB,S10,A100000,D100,R1000,Centrifuge
0.406484,0.342056,OB,S10,A100000,D100,R150,Centrifuge
0.41873,0.355872,OB,S10,A100000,D100,R300,Centrifuge
0.373147,0.323372,OB,S10,A100000,D100,R75,Centrifuge
0.668919,0.443766,OB,S10,A100000,D100,R1000,Constrains
0.48792,0.360875,OB,S10,A100000,D100,R150,Constrains
0.55574,0.382975,OB,S10,A100000,D100,R300,Constrains
0.511874,0.367293,OB,S10,A100000,D100,R75,Constrains
0.391419,0.315711,OB,S10,A100000,D100,R1000,Kraken
0.430938,0.354911,OB,S10,A100000,D100,R150,Kraken
0.403859,0.323844,OB,S10,A100000,D100,R300,Kraken
0.48235,0.4092,OB,S10,A100000,D100,R75,Kraken
0.415751,0.311089,OB,S10,A100000,D100,R1000,MetaMix
0.351737,0.288861,OB,S10,A100000,D100,R150,MetaMix
0.420058,0.316539,OB,S10,A100000,D100,R300,MetaMix
0.352784,0.289778,OB,S10,A100000,D100,R75,MetaMix
