FPR,TPR,Organism,Species,Abundance,Dominance,Read Length,Software
0.0503597,0.857143,OB,S10,A100000,D1,R1000,Centrifuge
0.0503597,0.857143,OB,S10,A100000,D1,R150,Centrifuge
0.0503597,0.857143,OB,S10,A100000,D1,R300,Centrifuge
0.0503597,0.857143,OB,S10,A100000,D1,R75,Centrifuge
0.0070922,0.2,OB,S10,A100000,D1,R1000,Constrains
0.0070922,0.272727,OB,S10,A100000,D1,R150,Constrains
0.0070922,0.2,OB,S10,A100000,D1,R300,Constrains
0.0070922,0.272727,OB,S10,A100000,D1,R75,Constrains
0,0.75,OB,S10,A100000,D1,R1000,Kraken
0,0.714286,OB,S10,A100000,D1,R150,Kraken
0,0.75,OB,S10,A100000,D1,R300,Kraken
0,0.714286,OB,S10,A100000,D1,R75,Kraken
0.00475059,0.625,OB,S10,A100000,D1,R1000,MetaMix*
0.00475059,0.571429,OB,S10,A100000,D1,R150,MetaMix*
0.007109,0.571429,OB,S10,A100000,D1,R300,MetaMix*
0.00475059,0.625,OB,S10,A100000,D1,R75,MetaMix*
0.0070922,0.222222,OB,S10,A100000,D1,R1000,MetaPhlan2
0.00943396,0.125,OB,S10,A100000,D1,R150,MetaPhlan2
0.0070922,0.222222,OB,S10,A100000,D1,R300,MetaPhlan2
0.0070922,0.222222,OB,S10,A100000,D1,R75,MetaPhlan2
0.00239234,0.888889,OB,S10,A100000,D1,R1000,PathoScope2
0,0.888889,OB,S10,A100000,D1,R150,PathoScope2
0,0.9,OB,S10,A100000,D1,R300,PathoScope2
0,0.9,OB,S10,A100000,D1,R75,PathoScope2
0.00238663,0.5,OB,S10,A100000,D1,R1000,Sigma
0.00238663,0.5,OB,S10,A100000,D1,R150,Sigma
0.00238663,0.5,OB,S10,A100000,D1,R300,Sigma
0.00238663,0.666667,OB,S10,A100000,D1,R75,Sigma
0.0455635,0.875,OB,S10,A100000,D1,R1000,Taxator-tk
0.0455635,0.8,OB,S10,A100000,D1,R150,Taxator-tk
0.0455635,0.833333,OB,S10,A100000,D1,R300,Taxator-tk
