OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis
OB_S426_A10000000_D100_R1000_Centrifuge,84353.5,212299,31302,9115,19294,0,7328.5,13746.5,7687,6061.5,168966,16524,83087.5,76001,21944,10205,149388,61853.5,25113,19999,8020.5,7689.5,10131.5,0,10705.5,20807,235724,24700.5,0,71155.5,6349,0,26538,14043.5,43035.5,1368180,16885,7498.5,6966.5,8931.5,17100,21778.5,6687.5,82555,8165.5,63343.5,14107.5,136892,10879,30352.5,8104.5,26380,19777,168296,8019.5,32108.5,7332.5,35252,0,142930,57969.5,118922,17080.5,136282,9472,312712,12657.5,27524,7262,49920,21116,166742,15076.5,23906.5,8728,170172,18643.5,8023,8591.5,30143.5,11433.5,10653,12529.5,170738,33112,207135,100548,93501.5,0,82405.5,14672.5,9817,8844,0,16506.5,304636,30918,9465.5,73678,42281.5,37179,66803.5,0,8498,25774,8755.5,17377.5,7774,18373,440864,204316,28919.5,9239.5,13353,10844.5,78841,79751.5,8380.5,229769
OB_S426_A10000000_D100_R1000_Constrains,33272,86335,87716,94572,0,0,101277,0,0,104872,70029,94624,75514,106887,121910,92139,101329,109932,10728,0,93968,94868,102662,0,100438,0,89531,101008,0,42827,0,0,102767,104303,104370,87720,96371,0,0,0,76181,0,0,88587,88491,82973,0,68049,0,96900,85532,493805,0,97676,78238,92578,92433,81125,549587,84062,87188,87704,77756,0,89909,60012,0,0,0,103547,0,103666,106244,218317,384723,97112,34460,0,101197,100240,103773,0,54676,103390,93829,89559,30434,60730,0,22598,97276,99223,99695,0,0,93689,92828,67125,0,99060,104078,0,0,107235,0,1336272,99303,90720,78607,90214,96651,78732,98821,0,101091,102448,0,58115,100887
OB_S426_A10000000_D100_R1000_Kraken,159221,210476,51264,18207,38445,0,14654,27495,15371,12121,243574,33046,151873,150357,36147,20411,96861,63991,50222,39998,16043,15375,20264,0,21412,41611,249120,36301,0,134582,12698,0,52363,28086,69358,668104,33771,14967,13912,20065,34171,38543,13291,133342,16083,126385,28214,175847,21759,30826,15987,36185,38775,129053,15956,48746,14570,59324,0,69034,80971,114682,28478,167427,18945,275127,25315,55043,14525,50657,42232,274566,0,34060,17173,85989,36983,16048,17183,55216,22866,20918,24881,65812,61417,302556,200731,176147,0,142654,29291,19633,17690,0,33014,99479,39328,18886,144956,24385,24771,43471,0,16926,45641,16382,31567,15096,33771,409501,99084,50904,18387,26446,21691,16280,159107,16762,24545
OB_S426_A10000000_D100_R1000_MetaPhlan2,33272,86335,87716,94572,0,0,101277,0,0,104872,70029,94624,75514,106887,121910,92139,101329,109932,10728,0,93968,94868,102662,0,100438,0,89531,101008,0,42827,0,0,102767,104303,104370,87720,96371,0,0,0,76181,0,0,88587,88491,82973,0,68049,0,96900,85532,493805,0,97676,78238,92578,92433,81125,549587,84062,87188,87704,77756,0,89909,60012,0,0,0,103547,0,103666,106244,218317,384723,97112,34460,0,101197,100240,103773,0,54676,103390,93829,89559,30434,60730,0,22598,97276,99223,99695,0,0,93689,92828,67125,0,99060,104078,0,0,107235,0,1336272,99303,90720,78607,90214,96651,78732,98821,0,101091,102448,0,58115,100887
OB_S426_A10000000_D100_R1000_PathoScope2,159618,210166.5,52598,16669,38469,51769,14593,27493.5,15167,12124,243938,32872,158785.5,150798,45506.5,19754,161216,63763,50141.5,39998,16031,15350,20256,47624,21411.5,41470,249254,36526.5,0,134684.5,12690,19162,52909.5,28097,69093.5,1244770,33732,15028,14124,17862,34199,38631,12998.5,134789,15459.5,126427,28213.5,209501,21710,31433,15806,35761.5,38548,137415,16020,49877.5,11714,62031,1967,147953.5,80681,115478.5,28350,169755,18913,275255.5,25315,55033,14405,50669,42104,274112,16378,11639,19516,209965.5,36960,16024,17115,55842.5,23443,20430.5,24822,156740.5,61111.5,305489,206062.5,176588.5,26782,142708,29290,19563,17618,0,32947,376445,39938,18534,145272,48482.5,63209,23921,13561.5,12686.5,53799.5,8606.5,31069,11433,32496.5,426634,218677,50482,25261.5,26037,21636,79711,159540.5,16750,430636
OB_S426_A10000000_D100_R1000_Sigma,0,307337.9,44017.7,27480.1,57872.8,77934.9,22049.3,0,0,18239.1,365241.7,0,0,204401.3,0,30717.2,188541.5,0,0,0,24143.2,23142.2,30501.9,71243.5,32225.6,0,0,43504.9,0,68999.1,19113.8,0,80068.8,42274,65577,1872952.5,0,0,20977.4,0,25728.4,18455.7,0,101515.4,0,132711,0,236954.8,32749.5,46209.1,0,46164.2,0,124856,0,53482.2,22016.7,24333.9,47618.7,139762,53114.2,140937.2,0,216372.4,28508.8,345898.7,0,0,0,75970.4,0,409178,24180.9,45714.8,0,186082.6,55661.3,0,0,44077.4,0,0,0,171449,67123.3,419660.8,154166.2,77325.3,0,120148.95,0,0,26627.1,0,49692.5,489348.2,49925.3,0,110705.4,57467.9,0,0,0,25672.7,0,25213.8,36072.7,0,0,559825.5,255527,0,27959.3,0,0,116969.3,79407.1,25222.6,637676.4
OB_S426_A10000000_D100_R1000_Taxator-tk,122661,196803,47884,528,1349,0,822,1378,866,162,43353,1341,153324,138199,25114,507,152190,7666,3230,3163,1021,737,2137,0,1642,1824,243592,22002,0,127756,240,279,2761,2323,60002,1215878,1493,986,652,2461,28262,27050,363,128748,441,125888,1693,194725,1408,1851,949,18242.5,35581,127860,636,42775,373,53618,0,137861,73225,107806,23908,160410,1902,265896,778,3508,445,3934,1317,86312,4620.5,19596,644,176743,1697.5,446,2166,51108.5,1447,2888,2659,0,52035,287550,114034,144771,1863,66346,1729,946,826,0,1164,364779,18922,605,132079,36234,32466,2416,868,500,37917,1022,26091,305,27018,398072,212174,45906,787,3024,1889,35076,123847,816,194100
OB_S426_A10000000_D100_R150_Centrifuge,88067,222902,34808,9073,19153,0,7274,13831.5,7734,5998.5,140281,16697,88063.5,75528,24425,10201.5,155238,61344.5,25108,19986,7804.5,7670,10293.5,0,10755.5,20772.5,242547,26313,0,75043.5,6309,0,26396.5,14177,49330,1304041,16821,7648,7002.5,9889,17382,23354.5,6604.5,93820,8305.5,63947.5,14291,170578,10691.5,30691.5,8138.5,28720.5,20222,179227,8002,38980.5,7356.5,37783.5,0,162818,60400.5,133260,17901.5,165224,9685.5,307244,12923.5,27392,7271,50528.5,21111,150877,15817,26822.5,8984,180633,18831,7914.5,8455.5,33323,11333.5,10718,12353,153936,36082,264308,101165,97763.5,0,82723.5,14528.5,9873.5,8776,0,16595,267854,32570,9847.5,73976,46321,39499.5,68415.5,0,8539,29451,9383,19131,7997.5,19076.5,380292,208808,30272,9349,13430.5,10982,59454.5,79741,8229.5,221576
OB_S426_A10000000_D100_R150_Constrains,33267,82276,84929,86627,0,0,89398,0,0,90079,78280,88691,74606,90202,113852,82075,87975,95772,14546,0,86052,87324,90872,0,90177,0,82578,87725,0,52073,0,0,100261,89686,90767,83606,87434,0,0,0,75936,0,0,85106,86270,81765,0,77125,0,90624,87424,417499,0,94868,76167,85612,93807,77498,528076,81141,83716,84879,77292,0,87886,67082,0,0,0,92382,0,90532,93771,329414,516813,98444,35233,0,86788,86833,88904,0,46563,88966,86227,84616,37140,57803,0,21633,87643,89928,85957,0,0,87152,87851,73944,0,89603,122768,0,0,98762,0,1561190,90301,144661,79162,86196,88988,75581,98376,0,87987,89701,0,52083,89289
OB_S426_A10000000_D100_R150_Kraken,159088,209312,50986,18036,38117,0,14548,27661,15445,11997,243520,33393,143514,149242,35702,20401,80982,63189,50199,39972,15609,15338,20587,0,21511,41522,249747,36350,0,134191,12618,0,51927,28354,69748,546753,33642,15258,13984,20154,34658,39109,13053,133171,16158,126592,28581,151206,21383,30940,15912,36722,38789,117714,15791,48829,14435,58671,0,52391,80558,114598,28180,166595,19371,275871,25846,54783,14541,50918,42221,273556,0,33425,17009,67236,37351,15829,16910,54170,22650,20961,24504,53301,61545,302836,201518,175024,0,143016,29007,19734,17547,0,33190,82668,38815,19427,144907,20568,22318,41981,0,16897,44708,16384,31231,14960,33496,408308,69397,50968,18477,26562,21964,10243,158890,16459,14131
