OTU,Achromobacter.xylosoxidans,Acinetobacter.baumannii,Aggregatibacter.actinomycetemcomitans,Aggregatibacter.aphrophilus,Agrobacterium.fabrum,Agrobacterium.radiobacter,Anaerococcus.prevotii,Anaerolinea.thermophila,Arcanobacterium.haemolyticum,Atopobium.parvulum,Bacillus.anthracis,Bacillus.clausii,Bacillus.subtilis,Bifidobacterium.animalis,Bifidobacterium.breve,Bifidobacterium.dentium,Bifidobacterium.longum,Bordetella.pertussis,Burkholderia.cepacia,Caldilinea.aerophila,Campylobacter.concisus,Campylobacter.curvus,Capnocytophaga.ochracea,Chlamydophila.pneumoniae,Chlorobium.limicola,Comamonas.testosteroni,Corynebacterium.diphtheriae,Corynebacterium.urealyticum,Cronobacter.malonaticus,Cronobacter.sakazakii,Cryptobacterium.curtum,Cutibacterium.avidum,Delftia.acidovorans,Eggerthella.lenta,Enterococcus.faecalis,Escherichia.coli,Eubacterium.limosum,Filifactor.alocis,Finegoldia.magna,Fretibacterium.fastidiosum,Fusobacterium.nucleatum,Gardnerella.vaginalis,Haemophilus.ducreyi,Haemophilus.influenzae,Haemophilus.parainfluenzae,Helicobacter.pylori,Ignavibacterium.album,Klebsiella.pneumoniae,Kytococcus.sedentarius,Lactobacillus.acidophilus,Lactobacillus.amylovorus,Lactobacillus.brevis,Lactobacillus.buchneri,Lactobacillus.casei,Lactobacillus.crispatus,Lactobacillus.fermentum,Lactobacillus.gasseri,Lactobacillus.johnsonii,Lactobacillus.paracasei,Lactobacillus.plantarum,Lactobacillus.reuteri,Lactobacillus.rhamnosus,Lactobacillus.salivarius,Lactococcus.lactis,Leptotrichia.buccalis,Listeria.monocytogenes,Melioribacter.roseus,Mesorhizobium.loti,Moraxella.catarrhalis,Mycobacterium.leprae,Mycobacterium.neoaurum,Mycobacterium.tuberculosis,Mycoplasma.fermentans,Neisseria.gonorrhoeae,Neisseria.lactamica,Neisseria.meningitidis,Ochrobactrum.anthropi,Olsenella.uli,Porphyromonas.asaccharolytica,Porphyromonas.gingivalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.melaninogenica,Propionibacterium.acnes,Proteus.mirabilis,Pseudomonas.aeruginosa,Pseudomonas.fluorescens,Pseudomonas.stutzeri,Pseudopropionibacterium.propionicum,Ralstonia.pickettii,Rhodobacter.capsulatus,Rothia.dentocariosa,Rothia.mucilaginosa,Saccharimonas.aalborgensis,Sanguibacter.keddieii,Staphylococcus.aureus,Staphylococcus.epidermidis,Staphylococcus.warneri,Stenotrophomonas.maltophilia,Streptococcus.agalactiae,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.intermedius,Streptococcus.mitis,Streptococcus.mutans,Streptococcus.oralis,Streptococcus.parasanguinis,Streptococcus.pneumoniae,Streptococcus.pyogenes,Streptococcus.salivarius,Streptococcus.sanguinis,Tannerella.forsythia,Treponema.denticola,Treponema.pallidum,Trichomonas.vaginalis,Variovorax.paradoxus,Veillonella.parvula,Yersinia.pestis,Pseudomonas.protegens
OB_S426_A10000000_D100_R1000_Centrifuge,84353.5,212361,31302,9137,19294,0,7355.5,13746.5,7687,6063,862339,16578.5,83250.5,76001,21944,10205.5,149388,61853.5,25113,19999,8029,7689.5,10138,0,10705.5,20807,235724,24700.5,0,71155.5,6349,0,26538,14043.5,43121.5,1368220,16885,7499,6988,8931.5,17115,21779,6687.5,82764,8168.5,63376,14120.5,136894,10879,30361.5,8104.5,26384.5,19777.5,168300,8021,32108.5,7341,35284.5,0,142936,57970,118937,17088.5,136362,9480,313280,12657.5,27524,7262,49920,21116,166742,15077,23911.5,8730.5,170172,18643.5,8023,8592,30143.5,11435,10653,12539.5,170738,33153.5,207138,100548,93510,0,82405.5,14672.5,9817,8844,0,16506.5,304764,30930.5,9520.5,73678,42416,37266,66803.5,0,8499,25816,8776.5,17421,7776,18373,440894,204366,28927.5,9244,13353.5,10845.5,78841,0,79752,8414.5,229813,0
OB_S426_A10000000_D100_R1000_Kraken,159221,210476,51264,18207,38445,0,14654,27495,15371,12121,1051221,33051,152026,150357,36147,20411,96861,63991,50222,39998,16043,15375,20264,0,21412,41611,249120,36301,0,134582,12698,0,52363,28086,69364,668104,33771,14967,13912,20065,34171,38543,13291,133343,16083,126385,28214,175847,21759,30826,15987,36190,38775,129053,15956,48746,14570,59324,0,69034,80971,114682,28479,167427,18945,275130,25315,55043,14525,50657,42232,274566,0,34060,17173,85992,36983,16048,17183,55216,22866,20918,24881,65812,61461,302556,200731,176147,0,142654,29291,19633,17690,0,33014,99479,39328,18888,144956,24385,24771,43471,0,16926,45641,16382,31567,15099,33771,409501,99100,50904,18387,26446,21691,16280,0,159107,16762,24545,0
OB_S426_A10000000_D100_R1000_MetaPhlan2,32988,85597,86967,93764,0,0,100412,0,0,103976,154844,93815,74869,105974,120869,91352,100464,108993,10636,0,93165,94057,101786,0,99580,0,88766,100145,0,42461,0,0,101890,103412,103479,86971,95548,0,0,0,75530,0,0,87831,87735,82264,0,67468,0,96072,84802,489588,0,96842,77570,91787,91644,80432,544893,83344,86443,86955,77092,0,89141,59500,0,0,0,102663,0,102781,105336,216452,381437,96283,34166,0,100332,99384,102887,0,54209,102507,93028,88794,30174,60211,0,22405,96445,98375,98843,0,0,92889,92035,66552,0,98214,103189,0,0,106319,0,0,98455,89946,77936,89444,95826,78059,97977,0,100227,101573,0,0,57618,100026,0
OB_S426_A10000000_D100_R1000_PathoScope2,159618,210166.5,52598,16669,38469,51769,14593,27493.5,15167,12124,926100.5,32872,158785.5,150798,45506.5,19754,161216,63763,50141.5,39998,16031,15350,20256,47624,21411.5,41470,249254,36526.5,0,134684.5,12690,19162,52909.5,28097,69093.5,1244770,33732,15028,14124,17862,34199,38631,12998.5,134789,15459.5,126427,28213.5,209501,21710,31433,15806,35761.5,38548,137415,16020,49877.5,11714,62031,1967,147953.5,80681,115478.5,28350,169755,18913,275255.5,25315,55033,14405,50669,42104,274112,16378,11639,19516,209965.5,36960,16024,17115,55842.5,23443,20430.5,24822,156740.5,61111.5,305489,206062.5,176588.5,26782,142708,29290,19563,17618,0,32947,376453,39938,18536,145272,48482.5,63209,23921,13561.5,12686.5,53799.5,8606.5,31069,11433,32496.5,426634,218677,50482,25261.5,26037,21636,79711,0,159540.5,16750,430636,0
OB_S426_A10000000_D100_R1000_Taxator-tk,122659,196803,47884,528,1349,0,822,1378,866,162,502050,1341,153324,138199,25114,507,152188,7666,3230,3163,1021,737,2137,0,1642,1824,243592,22002,0,127756,240,279,2761,2323,60002,1215878,1493,986,652,2451,28262,27050,363,128748,441,125888,1693,194725,1408,1851,949,18243,35581,127860,636,42774.5,373,53618,0,137861,73225,107806,23908,160410,1902,265901,778,3508,445,3935,1317,86308.5,4617,19596,644,176743,1696.5,446,2166,51108,1447,2888,2659,0,52035,287548,114034,144771,1863,66346,1729,946,826,0,1164,364779,18922,605,132079,36234,32466,2416,868,500,37917,1022,26091,305,27018,398072,212174,45906,787,3024,1889,35071.5,0,123847,816,194100,0
OB_S426_A10000000_D100_R150_Centrifuge,88067,222983,34808,9085,19153,0,7283.5,13834.5,7734,6000.5,681962,16727.5,88361,75528,24425.5,10201.5,155238,61344.5,25108,19986,7814,7672.5,10298,0,10755.5,20772.5,242554,26313,0,75045,6309,0,26396.5,14177,49453,1304080,16821,7656,7007,9889,17406.5,23361.5,6605,93911.5,8312.5,63958,14298.5,170580,10691.5,30711.5,8145,28746,20226.5,179246,8006,38980.5,7362,37818.5,0,162830,60406.5,133272,17918.5,165356,9696.5,307720,12924,27392,7271,50528.5,21111,150877,15819.5,26835.5,8990.5,180636,18831,7914.5,8455.5,33323,11333.5,10718,12358,153936,36131.5,264310,101165,97769,0,82723.5,14528.5,9873.5,8776.5,0,16595,267970,32620,9898,73976,46415.5,39537.5,68423.5,0,8545,29477.5,9408,19173.5,8012.5,19078.5,380336,208832,30299.5,9353.5,13434.5,10985,59454.5,0,79742.5,8237,221624,0
OB_S426_A10000000_D100_R150_Kraken,159088,209318,50986,18036,38117,0,14548,27661,15445,11997,973946,33413,143634,149242,35702,20401,80982,63189,50199,39972,15609,15342,20587,0,21511,41522,249747,36350,0,134191,12618,0,51927,28354,69785,546753,33642,15258,13984,20154,34658,39109,13053,133174,16158,126592,28581,151206,21383,30940,15912,36728,38789,117714,15791,48829,14435,58671,0,52391,80558,114629,28185,166608,19371,275962,25846,54783,14541,50918,42221,273556,0,33425,17009,67242,37351,15829,16910,54170,22650,20961,24504,53301,61598,302836,201518,175024,0,143016,29007,19734,17547,0,33190,82671,38815,19438,144907,20568,22318,41981,0,16897,44708,16384,31231,14983,33496,408308,69419,50968,18477,26562,21964,10243,0,158890,16459,14131,0
OB_S426_A10000000_D100_R150_MetaPhlan2,32813,81154,83770,85446,0,0,88179,0,0,88851,213605,87483,73589,88972,112299,80956,86775,94466,14348,0,84879,86133,89633,0,88947,0,81452,86529,0,51362,0,0,98894,88463,89530,82466,86242,0,0,0,74901,0,0,83945,85093,80650,0,76074,0,89388,86232,411806,0,93574,75128,84444,92528,76441,520874,80034,82574,83721,76238,0,86687,66167,0,0,0,91122,0,89297,92493,324922,509765,97101,34753,0,85604,85649,87692,0,45928,87753,85051,83462,36633,57014,0,21338,86448,88701,84785,0,0,85964,86636,72936,0,88381,121094,0,0,97415,0,0,89070,142688,78082,85021,87774,74551,97035,0,86787,88478,0,0,51373,88072,0
OB_S426_A10000000_D100_R150_PathoScope2,160040,210408,51138.5,17928.5,38114,51966.5,14541,27661,15363.5,11996.5,869507.5,33346.5,158706,150354,37366.5,20368,168353.5,63266,50190,39971,15615,15323.5,20586.5,47640,21510.5,41502,249867.5,36294.5,0,134025,12612.5,19419.5,51787.5,28354,70016.5,1251283.5,33640,15124,14023,18758,34705,39077,13012.5,133549.5,16041.5,126601.5,28583,207456,21381.5,31190.5,15865.5,36630.5,38695,138102,15617,49127.5,14264,59181,3015.5,147412,80745.5,114385,28150.5,170547,19371.5,275940,25844,54790,14505.5,50905.5,42205.5,273123,16585.5,32071.5,15899,192728,37333.5,15829,16901.5,54666,22651.5,20895.5,24514.5,155666.5,61457.5,305379,201605,175512.5,26931.5,143134,29003,19728.5,17538,0,33186.5,376848.5,39110.5,19201,144829.5,49565.5,45921.5,51592.5,16456.5,16828.5,41756.5,15912,31317.5,14585,33408,415246,218483.5,50841.5,18412,26360,21957,79957,0,158965.5,16459,427600,0
OB_S426_A10000000_D100_R150_Taxator-tk,89686.5,174695,38806,259,561.5,0,408,791,446.5,62,344890,734.5,148032,123787,14156.5,220,134124,5174.5,1427.5,1567.5,520,263,966.5,0,901.5,1083,230454,13388.5,0,120562,104.5,127,1536.5,839.5,43710.5,1177661,610.5,479.5,337,1282.5,20845.5,18251.5,127.5,123444,249,124118,895,180080,723,784.5,548.5,9713,30342,99867.5,307,29348.5,176,48205,0,103928,68792.5,97166,17222.5,142415,1035.5,249110,439,1452.5,195,1563,561.5,30180.5,2231,7876,391.5,134998,622.5,152.5,1107,40833.5,743,1505,1217,0,33508,269624,69914.5,115434,866,48430.5,696.5,447.5,341.5,0,483.5,314022,11147.5,291,120344,23036.5,23682.5,586.5,586.5,299.5,26214,816.5,15081.5,168.5,20341,357731,193944,41089,392.5,1904.5,905.5,13726.5,0,101396,467.5,75888.5,0
