Time 1,Time 2,Organism,Species,Abundance,Dominance,Read Length,Software,FPR,TPR
13.21,0,B,426,1000000,10,150,Centrifuge,0.0222222,0.861538
23.24,0,B,426,2000000,10,150,Centrifuge,0.0222222,0.861538
35.49,0,B,426,3000000,10,150,Centrifuge,0.0222222,0.861538
46.13,0,B,426,4000000,10,150,Centrifuge,0.0222222,0.861538
58.4,0,B,426,5000000,10,150,Centrifuge,0.0222222,0.863636
68.96,0,B,426,6000000,10,150,Centrifuge,0.0222222,0.863636
80.56,0,B,426,7000000,10,150,Centrifuge,0.0222222,0.861538
91.88,0,B,426,8000000,10,150,Centrifuge,0.0222222,0.861538
103.14,0,B,426,9000000,10,150,Centrifuge,0.0222222,0.861538
115.07,0,B,426,10000000,10,150,Centrifuge,0.0222222,0.857143
229.79,0,B,426,20000000,10,150,Centrifuge,0.0222222,0.861538
345.97,0,B,426,30000000,10,150,Centrifuge,0.0222222,0.863636
455.77,0,B,426,40000000,10,150,Centrifuge,0.0222222,0.859375
604.01,0,B,426,50000000,10,150,Centrifuge,0.0222222,0.861538
894.46,0,B,426,60000000,10,150,Centrifuge,0.0222222,0.861538
45,26.62,B,426,1000000,10,150,Kraken,0.0189873,0.907407
41.37,52.73,B,426,2000000,10,150,Kraken,0.0189873,0.908257
66.47,80.77,B,426,3000000,10,150,Kraken,0.0189873,0.909091
74.79,108.54,B,426,4000000,10,150,Kraken,0.0189873,0.908257
97.01,133.21,B,426,5000000,10,150,Kraken,0.0189873,0.908257
110.28,161.74,B,426,6000000,10,150,Kraken,0.0189873,0.908257
141.3,190.08,B,426,7000000,10,150,Kraken,0.0189873,0.908257
167.24,222.06,B,426,8000000,10,150,Kraken,0.0189873,0.909091
176.76,252.04,B,426,9000000,10,150,Kraken,0.0189873,0.908257
207.14,259.35,B,426,10000000,10,150,Kraken,0.0189873,0.909091
424.22,535.2,B,426,20000000,10,150,Kraken,0.0189873,0.908257
624,810.78,B,426,30000000,10,150,Kraken,0.0189873,0.907407
822.16,1053.78,B,426,40000000,10,150,Kraken,0.0189873,0.908257
1046.42,1350.92,B,426,50000000,10,150,Kraken,0.0189873,0.908257
1254.87,1650.85,B,426,60000000,10,150,Kraken,0.0189873,0.908257
69.25,0,B,426,1000000,10,150,MetaPhlan2,0.00293255,0.639175
103.93,0,B,426,2000000,10,150,MetaPhlan2,0.00292398,0.647059
134.27,0,B,426,3000000,10,150,MetaPhlan2,0.00293255,0.653465
169.8,0,B,426,4000000,10,150,MetaPhlan2,0.00292398,0.647059
199.44,0,B,426,5000000,10,150,MetaPhlan2,0.00292398,0.643564
238.31,0,B,426,6000000,10,150,MetaPhlan2,0.00293255,0.646465
266.12,0,B,426,7000000,10,150,MetaPhlan2,0.00293255,0.653465
303.5,0,B,426,8000000,10,150,MetaPhlan2,0.00293255,0.653465
336.49,0,B,426,9000000,10,150,MetaPhlan2,0.00293255,0.653465
367.8,0,B,426,10000000,10,150,MetaPhlan2,0.00293255,0.660194
729.37,0,B,426,20000000,10,150,MetaPhlan2,0.00292398,0.64
1049.44,0,B,426,30000000,10,150,MetaPhlan2,0.00292398,0.643564
1398.56,0,B,426,40000000,10,150,MetaPhlan2,0.00293255,0.646465
1737.15,0,B,426,50000000,10,150,MetaPhlan2,0.00293255,0.660194
2000,0,B,426,60000000,10,150,MetaPhlan2,0.00293255,0.653465
148.12,1534.97,B,426,1000000,10,150,PathoScope2,0.00647249,0.973684
308.33,3276.38,B,426,2000000,10,150,PathoScope2,0.00961538,0.93617
472.74,4999.01,B,426,3000000,10,150,PathoScope2,0.00647249,0.974138
640.93,6563.56,B,426,4000000,10,150,PathoScope2,0.00647249,0.973913
801.33,8588.43,B,426,5000000,10,150,PathoScope2,0.00647249,0.973913
938.63,9926.89,B,426,6000000,10,150,PathoScope2,0.00647249,0.973913
1152.73,11982.03,B,426,7000000,10,150,PathoScope2,0.00647249,0.973913
1232.94,13382.26,B,426,8000000,10,150,PathoScope2,0.00647249,0.974138
1291.75,14449.79,B,426,9000000,10,150,PathoScope2,0.00647249,0.973913
1508.03,17042.57,B,426,10000000,10,150,PathoScope2,0.00647249,0.974138
3052.63,33503.2,B,426,20000000,10,150,PathoScope2,0.00647249,0.973913
4781.62,52973.44,B,426,30000000,10,150,PathoScope2,0.00647249,0.973684
5975.2,66751.34,B,426,40000000,10,150,PathoScope2,0.00647249,0.973913
3754.84,40722.42,B,426,50000000,10,150,PathoScope2,0.00647249,0.925
9373.69,102930.05,B,426,60000000,10,150,PathoScope2,0.00647249,0.973913
3798.3,478.7,B,426,1000000,10,150,Taxator,0.175719,0.825
7922.94,962.79,B,426,2000000,10,150,Taxator,0.175719,0.825
12433.9,1526.76,B,426,3000000,10,150,Taxator,0.175719,0.825
15667.4,1932.42,B,426,4000000,10,150,Taxator,0.175719,0.825
20129.3,2467.13,B,426,5000000,10,150,Taxator,0.175719,0.825
23396.9,2991.74,B,426,6000000,10,150,Taxator,0.175719,0.825
26150,3253.23,B,426,7000000,10,150,Taxator,0.175719,0.820513
29710.6,3705.93,B,426,8000000,10,150,Taxator,0.175719,0.825
33101.6,4404.99,B,426,9000000,10,150,Taxator,0.175719,0.825
39978.2,4944.22,B,426,10000000,10,150,Taxator,0.175719,0.825
79023.4,10228.65,B,426,20000000,10,150,Taxator,0.175719,0.825
125491,16587.17,B,426,30000000,10,150,Taxator,0.175719,0.825
152854,19616.85,B,426,40000000,10,150,Taxator,0.175719,0.825
189140,25009.81,B,426,50000000,10,150,Taxator,0.175719,0.825
239054,18282.93,B,426,60000000,10,150,Taxator,0.175719,0.708333
